,,,,,,
Arena Matchings,,,,,,
,,,,,,
game_version,end_time,date,character,card_title,wins,player_id
5.0.0.12574,6:00 AM,4/28/2016,Mage,Pit Fighter,4,1
5.0.0.12574,6:00 AM,4/28/2016,Mage,Psych-o-Tron,4,1
5.0.0.12574,6:00 AM,4/28/2016,Mage,Servant of Yogg-Saron,4,1
5.0.0.12574,6:00 AM,4/28/2016,Mage,Corrupted Seer,4,1
5.0.0.12574,6:00 AM,4/28/2016,Mage,Drakonid Crusher,4,1
5.0.0.12574,6:00 AM,4/28/2016,Mage,Faceless Summoner,4,1
5.0.0.12574,6:00 AM,4/28/2016,Mage,North Sea Kraken,4,1
5.0.0.12574,6:00 AM,4/28/2016,Mage,Faceless Behemoth,4,1
5.0.0.12574,12:15 PM,5/1/2016,Shaman,Ancestral Healing,4,1
5.0.0.12574,12:15 PM,5/1/2016,Shaman,Evolve,4,1
5.0.0.12574,12:15 PM,5/1/2016,Shaman,Clockwork Gnome,4,1
5.0.0.12574,12:15 PM,5/1/2016,Shaman,Clockwork Gnome,4,1
5.0.0.12574,12:15 PM,5/1/2016,Shaman,Worgen Infiltrator,4,1
5.0.0.12574,12:15 PM,5/1/2016,Shaman,Stormforged Axe,4,1
5.0.0.12574,12:15 PM,5/1/2016,Shaman,Crackle,4,1
5.0.0.12574,12:15 PM,5/1/2016,Shaman,Crackle,4,1
5.0.0.12574,12:15 PM,5/1/2016,Shaman,Amani Berserker,4,1
5.0.0.12574,12:15 PM,5/1/2016,Shaman,Eternal Sentinel,4,1
5.0.0.12574,12:15 PM,5/1/2016,Shaman,Flametongue Totem,4,1
5.0.0.12574,12:15 PM,5/1/2016,Shaman,Mechwarper,4,1
5.0.0.12574,12:15 PM,5/1/2016,Shaman,Whirling Zap-o-matic,4,1
5.0.0.12574,12:15 PM,5/1/2016,Shaman,Powermace,4,1
5.0.0.12574,12:15 PM,5/1/2016,Shaman,Powermace,4,1
5.0.0.12574,12:15 PM,5/1/2016,Shaman,Hex,4,1
5.0.0.12574,12:15 PM,5/1/2016,Shaman,Ironbeak Owl,4,1
5.0.0.12574,12:15 PM,5/1/2016,Shaman,Ironfur Grizzly,4,1
5.0.0.12574,12:15 PM,5/1/2016,Shaman,Tuskarr Totemic,4,1
5.0.0.12574,12:15 PM,5/1/2016,Shaman,Unbound Elemental,4,1
5.0.0.12574,12:15 PM,5/1/2016,Shaman,Crowd Favorite,4,1
5.0.0.12574,12:15 PM,5/1/2016,Shaman,Mechanical Yeti,4,1
5.0.0.12574,12:15 PM,5/1/2016,Shaman,Piloted Shredder,4,1
5.0.0.12574,12:15 PM,5/1/2016,Shaman,Windspeaker,4,1
5.0.0.12574,12:15 PM,5/1/2016,Shaman,Clockwork Knight,4,1
5.0.0.12574,12:15 PM,5/1/2016,Shaman,Kvaldir Raider,4,1
5.0.0.12574,12:15 PM,5/1/2016,Shaman,Salty Dog,4,1
5.0.0.12574,12:15 PM,5/1/2016,Shaman,Spectral Knight,4,1
5.0.0.12574,12:15 PM,5/1/2016,Shaman,Captured Jormunger,4,1
5.0.0.12574,12:15 PM,5/1/2016,Shaman,Faceless Behemoth,4,1
5.0.0.12574,8:33 PM,5/2/2016,Shaman,Ancestral Healing,4,1
5.0.0.12574,8:33 PM,5/2/2016,Shaman,Rockbiter Weapon,4,1
5.0.0.12574,8:33 PM,5/2/2016,Shaman,Murloc Raider,4,1
5.0.0.12574,8:33 PM,5/2/2016,Shaman,Windfury,4,1
5.0.0.12574,8:33 PM,5/2/2016,Shaman,Faerie Dragon,4,1
5.0.0.12574,8:33 PM,5/2/2016,Shaman,Flametongue Totem,4,1
5.0.0.12574,8:33 PM,5/2/2016,Shaman,Haunted Creeper,4,1
5.0.0.12574,8:33 PM,5/2/2016,Shaman,Novice Engineer,4,1
5.0.0.12574,8:33 PM,5/2/2016,Shaman,Totem Golem,4,1
5.0.0.12574,8:33 PM,5/2/2016,Shaman,Youthful Brewmaster,4,1
5.0.0.12574,8:33 PM,5/2/2016,Shaman,Feral Spirit,4,1
5.0.0.12574,8:33 PM,5/2/2016,Shaman,Hex,4,1
5.0.0.12574,8:33 PM,5/2/2016,Shaman,Shattered Sun Cleric,4,1
5.0.0.12574,8:33 PM,5/2/2016,Shaman,Tuskarr Totemic,4,1
5.0.0.12574,8:33 PM,5/2/2016,Shaman,Burly Rockjaw Trogg,4,1
5.0.0.12574,8:33 PM,5/2/2016,Shaman,Chillwind Yeti,4,1
5.0.0.12574,8:33 PM,5/2/2016,Shaman,Dark Iron Dwarf,4,1
5.0.0.12574,8:33 PM,5/2/2016,Shaman,Kezan Mystic,4,1
5.0.0.12574,8:33 PM,5/2/2016,Shaman,Lost Tallstrider,4,1
5.0.0.12574,8:33 PM,5/2/2016,Shaman,Piloted Shredder,4,1
5.0.0.12574,8:33 PM,5/2/2016,Shaman,Piloted Shredder,4,1
5.0.0.12574,8:33 PM,5/2/2016,Shaman,Windspeaker,4,1
5.0.0.12574,8:33 PM,5/2/2016,Shaman,Psych-o-Tron,4,1
5.0.0.12574,8:33 PM,5/2/2016,Shaman,Master Jouster,4,1
5.0.0.12574,8:33 PM,5/2/2016,Shaman,Piloted Sky Golem,4,1
5.0.0.12574,8:33 PM,5/2/2016,Shaman,Captured Jormunger,4,1
5.0.0.12574,8:33 PM,5/2/2016,Shaman,Grotesque Dragonhawk,4,1
5.0.0.12574,8:33 PM,5/2/2016,Shaman,Stormwind Champion,4,1
5.0.0.12574,8:33 PM,5/2/2016,Shaman,The Boogeymonster,4,1
5.0.0.12574,8:33 PM,5/2/2016,Shaman,North Sea Kraken,4,1
5.0.0.12574,7:25 PM,5/3/2016,Warlock,Sacrificial Pact,7,1
5.0.0.12574,7:25 PM,5/3/2016,Warlock,Power Overwhelming,7,1
5.0.0.12574,7:25 PM,5/3/2016,Warlock,Blood Imp,7,1
5.0.0.12574,7:25 PM,5/3/2016,Warlock,Zealous Initiate,7,1
5.0.0.12574,7:25 PM,5/3/2016,Warlock,Amani Berserker,7,1
5.0.0.12574,7:25 PM,5/3/2016,Warlock,Dark Peddler,7,1
5.0.0.12574,7:25 PM,5/3/2016,Warlock,Dark Peddler,7,1
5.0.0.12574,7:25 PM,5/3/2016,Warlock,Micro Machine,7,1
5.0.0.12574,7:25 PM,5/3/2016,Warlock,Puddlestomper,7,1
5.0.0.12574,7:25 PM,5/3/2016,Warlock,Ship's Cannon,7,1
5.0.0.12574,7:25 PM,5/3/2016,Warlock,Spreading Madness,7,1
5.0.0.12574,7:25 PM,5/3/2016,Warlock,Darkshire Councilman,7,1
5.0.0.12574,7:25 PM,5/3/2016,Warlock,Imp Gang Boss,7,1
5.0.0.12574,7:25 PM,5/3/2016,Warlock,Void Terror,7,1
5.0.0.12574,7:25 PM,5/3/2016,Warlock,Imp-losion,7,1
5.0.0.12574,7:25 PM,5/3/2016,Warlock,Defender of Argus,7,1
5.0.0.12574,7:25 PM,5/3/2016,Warlock,Infested Tauren,7,1
5.0.0.12574,7:25 PM,5/3/2016,Warlock,Lost Tallstrider,7,1
5.0.0.12574,7:25 PM,5/3/2016,Warlock,Midnight Drake,7,1
5.0.0.12574,7:25 PM,5/3/2016,Warlock,Spellbreaker,7,1
5.0.0.12574,7:25 PM,5/3/2016,Warlock,Voidcaller,7,1
5.0.0.12574,7:25 PM,5/3/2016,Warlock,Voidcaller,7,1
5.0.0.12574,7:25 PM,5/3/2016,Warlock,Fen Creeper,7,1
5.0.0.12574,7:25 PM,5/3/2016,Warlock,Mukla's Champion,7,1
5.0.0.12574,7:25 PM,5/3/2016,Warlock,Stormpike Commando,7,1
5.0.0.12574,7:25 PM,5/3/2016,Warlock,Siphon Soul,7,1
5.0.0.12574,7:25 PM,5/3/2016,Warlock,Dread Infernal,7,1
5.0.0.12574,7:25 PM,5/3/2016,Warlock,Nerubian Prophet,7,1
5.0.0.12574,7:25 PM,5/3/2016,Warlock,Reckless Rocketeer,7,1
5.0.0.12574,7:25 PM,5/3/2016,Warlock,Bog Creeper,7,1
5.0.0.12574,5:45 PM,5/4/2016,Warlock,Mortal Coil,3,1
